,spotify_id,name,followers,popularity,genres,chart_hits
11203,4q3ewBCX7sLwd24euuV69X,Bad Bunny,55669387.0,100,"['reggaeton', 'trap latino']","['us (76)', 'gb (1)', 'ar (91)', 'au (2)', 'at (5)', 'be (9)', 'bo (97)', 'br (1)', 'bg (5)', 'ca (15)', 'cl (106)', 'co (98)', 'cr (96)', 'cy (11)', 'cz (2)', 'dk (4)', 'do (110)', 'ec (97)', 'eg (3)', 'sv (102)', 'ee (6)', 'fi (5)', 'fr (6)', 'de (7)', 'gr (6)', 'gt (104)', 'hn (106)', 'hk (6)', 'hu (6)', 'is (4)', 'in (4)', 'id (1)', 'ie (4)', 'il (6)', 'it (15)', 'jp (2)', 'lv (6)', 'lt (11)', 'lu (19)', 'my (4)', 'mt (21)', 'mx (92)', 'ma (5)', 'nl (5)', 'nz (1)', 'ni (105)', 'no (5)', 'pa (107)', 'py (105)', 'pe (101)', 'ph (2)', 'pl (1)', 'pt (19)', 'ro (5)', 'ru (1)', 'sa (4)', 'sg (4)', 'sk (5)', 'za (2)', 'kr (4)', 'es (101)', 'se (5)', 'ch (27)', 'tw (8)', 'th (2)', 'tr (1)', 'ua (2)', 'ae (11)', 'uy (95)', 'vn (1)', 'ad (16)']"
18726,3TVXtAsR1Inumwj472S9r4,Drake,66852536.0,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']","['us (190)', 'gb (163)', 'ar (18)', 'au (148)', 'at (97)', 'be (99)', 'bo (22)', 'br (31)', 'bg (125)', 'ca (179)', 'cl (20)', 'co (24)', 'cr (52)', 'cy (105)', 'cz (55)', 'dk (132)', 'do (116)', 'ec (17)', 'eg (37)', 'sv (26)', 'ee (115)', 'fi (59)', 'fr (106)', 'de (111)', 'gr (122)', 'gt (25)', 'hn (60)', 'hk (59)', 'hu (76)', 'is (154)', 'in (11)', 'id (26)', 'ie (140)', 'il (60)', 'it (63)', 'jp (15)', 'lv (111)', 'lt (113)', 'lu (117)', 'my (58)', 'mt (80)', 'mx (22)', 'ma (53)', 'nl (137)', 'nz (145)', 'ni (27)', 'no (94)', 'pa (82)', 'py (19)', 'pe (17)', 'ph (40)', 'pl (57)', 'pt (130)', 'ro (72)', 'ru (13)', 'sa (39)', 'sg (65)', 'sk (93)', 'za (73)', 'kr (30)', 'es (31)', 'se (93)', 'ch (138)', 'tw (38)', 'th (19)', 'tr (32)', 'ua (13)', 'ae (59)', 'uy (19)', 'vn (17)', 'ad (1)']"
4646,06HL4z0CvFAxyc27GXpf02,Taylor Swift,58554324.0,94,['pop'],"['us (136)', 'gb (115)', 'ar (24)', 'au (110)', 'at (36)', 'be (54)', 'bo (12)', 'br (40)', 'bg (49)', 'ca (121)', 'cl (11)', 'co (16)', 'cr (28)', 'cy (43)', 'cz (28)', 'dk (39)', 'do (14)', 'ec (11)', 'eg (26)', 'sv (32)', 'ee (61)', 'fi (31)', 'fr (9)', 'de (29)', 'gr (32)', 'gt (15)', 'hn (27)', 'hk (93)', 'hu (41)', 'is (25)', 'in (44)', 'id (40)', 'ie (123)', 'il (23)', 'it (10)', 'jp (27)', 'lv (38)', 'lt (33)', 'lu (37)', 'my (114)', 'mt (24)', 'mx (20)', 'ma (9)', 'nl (33)', 'nz (109)', 'ni (28)', 'no (44)', 'pa (23)', 'py (15)', 'pe (14)', 'ph (136)', 'pl (20)', 'pt (54)', 'ro (29)', 'ru (3)', 'sa (51)', 'sg (127)', 'sk (26)', 'za (60)', 'kr (16)', 'es (17)', 'se (31)', 'ch (27)', 'tw (73)', 'th (74)', 'tr (15)', 'ua (3)', 'ae (98)', 'uy (44)', 'vn (84)']"
13879,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,49387909.0,93,"['canadian contemporary r&b', 'canadian pop', 'pop']","['us (81)', 'gb (74)', 'ar (23)', 'au (76)', 'at (61)', 'be (68)', 'bo (46)', 'br (41)', 'bg (83)', 'ca (83)', 'cl (29)', 'co (39)', 'cr (46)', 'cy (62)', 'cz (65)', 'dk (76)', 'do (62)', 'ec (36)', 'eg (38)', 'sv (42)', 'ee (78)', 'fi (68)', 'fr (66)', 'de (64)', 'gr (76)', 'gt (44)', 'hn (56)', 'hk (61)', 'hu (71)', 'is (77)', 'in (22)', 'id (26)', 'ie (74)', 'il (34)', 'it (54)', 'jp (12)', 'lv (71)', 'lt (75)', 'lu (64)', 'my (69)', 'mt (54)', 'mx (48)', 'ma (36)', 'nl (71)', 'nz (73)', 'ni (43)', 'no (78)', 'pa (61)', 'py (18)', 'pe (25)', 'ph (38)', 'pl (67)', 'pt (74)', 'ro (48)', 'ru (13)', 'sa (38)', 'sg (69)', 'sk (76)', 'za (38)', 'kr (24)', 'es (32)', 'se (75)', 'ch (74)', 'tw (47)', 'th (28)', 'tr (53)', 'ua (16)', 'ae (43)', 'uy (26)', 'vn (30)', 'ad (5)']"
19533,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,18170307.0,91,"['chicago rap', 'rap']","['us (89)', 'gb (84)', 'ar (3)', 'au (81)', 'at (42)', 'be (52)', 'bo (4)', 'br (8)', 'bg (65)', 'ca (83)', 'cl (2)', 'co (3)', 'cr (12)', 'cy (45)', 'cz (29)', 'dk (74)', 'do (20)', 'ec (3)', 'eg (20)', 'sv (3)', 'ee (66)', 'fi (48)', 'fr (43)', 'de (45)', 'gr (54)', 'gt (3)', 'hn (10)', 'hk (26)', 'hu (43)', 'is (84)', 'in (2)', 'id (9)', 'ie (80)', 'il (38)', 'it (27)', 'jp (9)', 'lv (69)', 'lt (65)', 'lu (53)', 'my (22)', 'mt (28)', 'mx (4)', 'ma (34)', 'nl (50)', 'nz (77)', 'ni (4)', 'no (65)', 'pa (14)', 'py (3)', 'pe (3)', 'ph (10)', 'pl (43)', 'pt (54)', 'ro (51)', 'ru (14)', 'sa (15)', 'sg (32)', 'sk (54)', 'za (42)', 'kr (28)', 'es (7)', 'se (59)', 'ch (61)', 'tw (14)', 'th (6)', 'tr (12)', 'ua (13)', 'ae (42)', 'uy (3)', 'vn (7)']"
16116,6KImCVD70vtIoJWnq6nGn3,Harry Styles,23284667.0,91,['pop'],"['us (35)', 'gb (35)', 'ar (23)', 'au (35)', 'at (24)', 'be (22)', 'bo (20)', 'br (23)', 'bg (32)', 'ca (35)', 'cl (19)', 'co (20)', 'cr (21)', 'cy (25)', 'cz (29)', 'dk (20)', 'do (18)', 'ec (19)', 'eg (17)', 'sv (21)', 'ee (35)', 'fi (24)', 'fr (15)', 'de (18)', 'gr (30)', 'gt (18)', 'hn (20)', 'hk (16)', 'hu (31)', 'is (30)', 'in (6)', 'id (9)', 'ie (35)', 'il (17)', 'it (20)', 'jp (4)', 'lv (34)', 'lt (35)', 'lu (21)', 'my (23)', 'mt (22)', 'mx (21)', 'ma (7)', 'nl (21)', 'nz (35)', 'ni (20)', 'no (21)', 'pa (19)', 'py (19)', 'pe (19)', 'ph (20)', 'pl (34)', 'pt (35)', 'ro (21)', 'ru (1)', 'sa (18)', 'sg (21)', 'sk (33)', 'za (18)', 'kr (17)', 'es (20)', 'se (21)', 'ch (21)', 'tw (8)', 'th (5)', 'tr (4)', 'ua (3)', 'ae (22)', 'uy (20)', 'vn (6)', 'ad (1)']"
17550,3Nrfpe0tUJi4K4DXYWgMUX,BTS,54532917.0,91,"['k-pop', 'k-pop boy group']","['us (55)', 'gb (32)', 'ar (30)', 'au (32)', 'at (30)', 'be (17)', 'bo (54)', 'br (31)', 'bg (77)', 'ca (49)', 'cl (32)', 'co (35)', 'cr (34)', 'cy (34)', 'cz (22)', 'dk (13)', 'do (30)', 'ec (34)', 'eg (44)', 'sv (60)', 'ee (69)', 'fi (38)', 'fr (10)', 'de (16)', 'gr (65)', 'gt (34)', 'hn (48)', 'hk (84)', 'hu (34)', 'is (9)', 'in (55)', 'id (99)', 'ie (13)', 'il (10)', 'it (8)', 'jp (100)', 'lv (52)', 'lt (74)', 'lu (27)', 'my (111)', 'mt (21)', 'mx (23)', 'ma (53)', 'nl (10)', 'nz (28)', 'ni (64)', 'no (14)', 'pa (40)', 'py (37)', 'pe (59)', 'ph (90)', 'pl (50)', 'pt (43)', 'ro (68)', 'ru (31)', 'sa (54)', 'sg (103)', 'sk (40)', 'za (23)', 'kr (96)', 'es (8)', 'se (13)', 'ch (12)', 'tw (91)', 'th (102)', 'tr (39)', 'ua (26)', 'ae (47)', 'uy (32)', 'vn (148)', 'ad (1)']"
6237,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,65590075.0,90,"['canadian pop', 'pop']","['us (58)', 'gb (51)', 'ar (29)', 'au (54)', 'at (44)', 'be (46)', 'bo (23)', 'br (32)', 'bg (40)', 'ca (62)', 'cl (25)', 'co (25)', 'cr (27)', 'cy (31)', 'cz (39)', 'dk (66)', 'do (32)', 'ec (26)', 'eg (11)', 'sv (27)', 'ee (42)', 'fi (46)', 'fr (27)', 'de (42)', 'gr (34)', 'gt (28)', 'hn (29)', 'hk (50)', 'hu (41)', 'is (64)', 'in (17)', 'id (24)', 'ie (45)', 'il (14)', 'it (33)', 'jp (17)', 'lv (33)', 'lt (38)', 'lu (45)', 'my (55)', 'mt (28)', 'mx (26)', 'ma (17)', 'nl (56)', 'nz (53)', 'ni (23)', 'no (57)', 'pa (39)', 'py (27)', 'pe (21)', 'ph (39)', 'pl (34)', 'pt (44)', 'ro (14)', 'ru (3)', 'sa (12)', 'sg (51)', 'sk (53)', 'za (29)', 'kr (27)', 'es (26)', 'se (48)', 'ch (53)', 'tw (43)', 'th (19)', 'tr (20)', 'ua (8)', 'ae (27)', 'uy (30)', 'vn (21)', 'ad (4)']"
14198,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,102156853.0,90,"['pop', 'uk pop']","['us (52)', 'gb (83)', 'ar (36)', 'au (65)', 'at (59)', 'be (58)', 'bo (29)', 'br (43)', 'bg (60)', 'ca (63)', 'cl (33)', 'co (31)', 'cr (40)', 'cy (44)', 'cz (65)', 'dk (71)', 'do (30)', 'ec (28)', 'eg (14)', 'sv (32)', 'ee (82)', 'fi (61)', 'fr (39)', 'de (60)', 'gr (47)', 'gt (28)', 'hn (30)', 'hk (57)', 'hu (58)', 'is (62)', 'in (9)', 'id (29)', 'ie (90)', 'il (20)', 'it (42)', 'jp (24)', 'lv (63)', 'lt (65)', 'lu (63)', 'my (50)', 'mt (51)', 'mx (28)', 'ma (12)', 'nl (67)', 'nz (69)', 'ni (27)', 'no (64)', 'pa (36)', 'py (28)', 'pe (33)', 'ph (50)', 'pl (54)', 'pt (52)', 'ro (28)', 'ru (4)', 'sa (13)', 'sg (65)', 'sk (63)', 'za (33)', 'kr (17)', 'es (37)', 'se (75)', 'ch (68)', 'tw (59)', 'th (23)', 'tr (25)', 'ua (7)', 'ae (34)', 'uy (38)', 'vn (20)', 'ad (3)']"
5486,7dGJo4pcD2V6oG8kP0tJRR,Eminem,59184634.0,90,"['detroit hip hop', 'hip hop', 'rap']","['us (78)', 'gb (72)', 'ar (7)', 'au (64)', 'at (61)', 'be (48)', 'bo (8)', 'br (10)', 'bg (73)', 'ca (73)', 'cl (5)', 'co (7)', 'cr (15)', 'cy (62)', 'cz (54)', 'dk (54)', 'do (12)', 'ec (8)', 'eg (32)', 'sv (8)', 'ee (63)', 'fi (70)', 'fr (48)', 'de (68)', 'gr (62)', 'gt (8)', 'hn (9)', 'hk (24)', 'hu (58)', 'is (47)', 'in (9)', 'id (7)', 'ie (63)', 'il (38)', 'it (39)', 'jp (5)', 'lv (64)', 'lt (58)', 'lu (56)', 'my (21)', 'mt (53)', 'mx (8)', 'ma (34)', 'nl (54)', 'nz (66)', 'ni (6)', 'no (68)', 'pa (8)', 'py (6)', 'pe (2)', 'ph (10)', 'pl (28)', 'pt (54)', 'ro (50)', 'ru (2)', 'sa (39)', 'sg (24)', 'sk (60)', 'za (25)', 'es (7)', 'se (62)', 'ch (71)', 'tw (15)', 'th (7)', 'tr (31)', 'ua (4)', 'ae (29)', 'uy (5)', 'vn (13)']"
15995,246dkjvS1zLTtiykXe5h60,Post Malone,38085069.0,89,"['dfw rap', 'melodic rap', 'rap']","['us (65)', 'gb (57)', 'ar (7)', 'au (54)', 'at (45)', 'be (43)', 'bo (16)', 'br (16)', 'bg (45)', 'ca (62)', 'cl (6)', 'co (9)', 'cr (25)', 'cy (44)', 'cz (45)', 'dk (55)', 'do (22)', 'ec (8)', 'eg (25)', 'sv (22)', 'ee (48)', 'fi (50)', 'fr (27)', 'de (45)', 'gr (44)', 'gt (21)', 'hn (24)', 'hk (38)', 'hu (48)', 'is (58)', 'in (19)', 'id (17)', 'ie (52)', 'il (36)', 'it (33)', 'jp (14)', 'lv (46)', 'lt (46)', 'lu (48)', 'my (41)', 'mt (42)', 'mx (12)', 'ma (17)', 'nl (51)', 'nz (54)', 'ni (15)', 'no (55)', 'pa (27)', 'py (11)', 'pe (5)', 'ph (24)', 'pl (34)', 'pt (49)', 'ro (45)', 'ru (3)', 'sa (21)', 'sg (39)', 'sk (54)', 'za (36)', 'kr (17)', 'es (15)', 'se (51)', 'ch (46)', 'tw (27)', 'th (24)', 'tr (15)', 'ua (4)', 'ae (32)', 'uy (7)', 'vn (14)']"
16350,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,13643957.0,89,"['puerto rican pop', 'trap latino']","['us (3)', 'ar (29)', 'at (1)', 'be (1)', 'bo (30)', 'bg (1)', 'ca (1)', 'cl (39)', 'co (26)', 'cr (26)', 'cy (1)', 'dk (1)', 'do (49)', 'ec (30)', 'sv (28)', 'ee (1)', 'fi (1)', 'fr (1)', 'de (1)', 'gt (25)', 'hn (29)', 'hk (1)', 'hu (1)', 'ie (1)', 'il (1)', 'it (2)', 'lv (1)', 'lt (1)', 'lu (2)', 'my (1)', 'mt (1)', 'mx (22)', 'ma (1)', 'nl (1)', 'ni (24)', 'no (1)', 'pa (40)', 'py (32)', 'pe (29)', 'ph (1)', 'pt (3)', 'ro (1)', 'sa (2)', 'sg (1)', 'sk (1)', 'kr (1)', 'es (41)', 'se (1)', 'ch (4)', 'tw (1)', 'th (1)', 'ae (2)', 'uy (30)', 'ad (6)']"
273,5f7VJjfbwm532GiveGC0ZK,Lil Baby,11530234.0,89,"['atl hip hop', 'atl trap', 'rap', 'trap']","['us (62)', 'gb (16)', 'au (6)', 'at (3)', 'be (6)', 'bg (14)', 'ca (51)', 'cy (10)', 'cz (3)', 'dk (5)', 'do (1)', 'ee (4)', 'fi (3)', 'fr (2)', 'de (3)', 'gr (11)', 'hn (1)', 'hk (2)', 'hu (4)', 'is (20)', 'ie (7)', 'il (4)', 'lv (7)', 'lt (10)', 'lu (16)', 'mt (11)', 'ma (4)', 'nl (5)', 'nz (5)', 'no (8)', 'pa (1)', 'pt (6)', 'ro (13)', 'sa (3)', 'sg (1)', 'sk (4)', 'za (13)', 'se (3)', 'ch (8)', 'tw (2)', 'th (1)', 'ae (7)']"
6992,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,25584443.0,89,"['chicago rap', 'melodic rap']","['us (80)', 'gb (50)', 'ar (1)', 'au (48)', 'at (41)', 'be (36)', 'bo (2)', 'br (1)', 'bg (41)', 'ca (69)', 'cl (1)', 'co (1)', 'cr (5)', 'cy (38)', 'cz (26)', 'dk (38)', 'do (4)', 'ec (2)', 'eg (18)', 'sv (2)', 'ee (46)', 'fi (42)', 'fr (5)', 'de (36)', 'gr (31)', 'gt (2)', 'hn (5)', 'hk (20)', 'hu (41)', 'is (48)', 'in (11)', 'id (2)', 'ie (47)', 'il (26)', 'it (5)', 'jp (4)', 'lv (46)', 'lt (39)', 'lu (47)', 'my (13)', 'mt (13)', 'mx (1)', 'ma (11)', 'nl (41)', 'nz (45)', 'ni (2)', 'no (43)', 'pa (7)', 'py (2)', 'pe (1)', 'ph (7)', 'pl (7)', 'pt (29)', 'ro (41)', 'ru (11)', 'sa (26)', 'sg (17)', 'sk (38)', 'za (43)', 'kr (4)', 'es (1)', 'se (32)', 'ch (31)', 'tw (17)', 'th (9)', 'tr (1)', 'ua (12)', 'ae (35)', 'uy (1)', 'vn (6)']"
17604,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,83045090.0,88,"['dance pop', 'pop']","['us (81)', 'gb (69)', 'ar (36)', 'au (70)', 'at (43)', 'be (61)', 'bo (25)', 'br (57)', 'bg (77)', 'ca (80)', 'cl (29)', 'co (34)', 'cr (53)', 'cy (57)', 'cz (41)', 'dk (44)', 'do (51)', 'ec (25)', 'eg (11)', 'sv (40)', 'ee (62)', 'fi (47)', 'fr (36)', 'de (41)', 'gr (80)', 'gt (29)', 'hn (37)', 'hk (72)', 'hu (62)', 'is (61)', 'in (13)', 'id (38)', 'ie (70)', 'il (43)', 'it (44)', 'jp (40)', 'lv (52)', 'lt (69)', 'lu (51)', 'my (73)', 'mt (52)', 'mx (35)', 'ma (12)', 'nl (70)', 'nz (67)', 'ni (39)', 'no (44)', 'pa (43)', 'py (24)', 'pe (32)', 'ph (81)', 'pl (75)', 'pt (73)', 'ro (53)', 'ru (7)', 'sa (23)', 'sg (75)', 'sk (63)', 'za (17)', 'kr (11)', 'es (36)', 'se (46)', 'ch (50)', 'tw (55)', 'th (39)', 'tr (26)', 'ua (10)', 'ae (27)', 'uy (37)', 'vn (50)', 'ad (3)']"
23,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,36163788.0,88,"['dance pop', 'pop', 'uk pop']","['us (17)', 'gb (25)', 'ar (18)', 'au (20)', 'at (14)', 'be (23)', 'bo (10)', 'br (18)', 'bg (24)', 'ca (19)', 'cl (16)', 'co (18)', 'cr (18)', 'cy (21)', 'cz (17)', 'dk (17)', 'do (9)', 'ec (9)', 'eg (13)', 'sv (19)', 'ee (24)', 'fi (22)', 'fr (12)', 'de (14)', 'gr (22)', 'gt (12)', 'hn (18)', 'hk (19)', 'hu (24)', 'is (12)', 'in (6)', 'id (13)', 'ie (24)', 'il (12)', 'it (11)', 'jp (9)', 'lv (18)', 'lt (24)', 'lu (20)', 'my (16)', 'mt (20)', 'mx (18)', 'ma (6)', 'nl (20)', 'nz (19)', 'ni (18)', 'no (16)', 'pa (15)', 'py (9)', 'pe (16)', 'ph (18)', 'pl (23)', 'pt (21)', 'ro (18)', 'ru (6)', 'sa (10)', 'sg (21)', 'sk (23)', 'za (5)', 'kr (6)', 'es (18)', 'se (14)', 'ch (14)', 'tw (18)', 'th (11)', 'tr (12)', 'ua (6)', 'ae (15)', 'uy (15)', 'vn (19)']"
7177,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,41751320.0,88,"['modern rock', 'rock']","['us (29)', 'gb (25)', 'ar (14)', 'au (18)', 'at (29)', 'be (24)', 'bo (18)', 'br (23)', 'bg (30)', 'ca (30)', 'cl (13)', 'co (15)', 'cr (18)', 'cy (17)', 'cz (53)', 'dk (19)', 'do (13)', 'ec (14)', 'eg (15)', 'sv (18)', 'ee (50)', 'fi (25)', 'fr (21)', 'de (26)', 'gr (22)', 'gt (18)', 'hn (16)', 'hk (31)', 'hu (45)', 'is (17)', 'in (5)', 'id (10)', 'ie (22)', 'il (13)', 'it (31)', 'jp (3)', 'lv (57)', 'lt (45)', 'lu (25)', 'my (22)', 'mt (24)', 'mx (21)', 'ma (3)', 'nl (28)', 'nz (20)', 'ni (14)', 'no (28)', 'pa (19)', 'py (19)', 'pe (11)', 'ph (16)', 'pl (43)', 'pt (45)', 'ro (14)', 'ru (8)', 'sa (14)', 'sg (26)', 'sk (48)', 'za (8)', 'kr (7)', 'es (20)', 'se (24)', 'ch (38)', 'tw (32)', 'th (14)', 'tr (20)', 'ua (11)', 'ae (7)', 'uy (13)', 'vn (12)', 'ad (1)']"
7527,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,38371125.0,88,"['permanent wave', 'pop']","['us (18)', 'gb (29)', 'ar (18)', 'au (16)', 'at (17)', 'be (23)', 'bo (11)', 'br (17)', 'bg (14)', 'ca (20)', 'cl (18)', 'co (13)', 'cr (32)', 'cy (12)', 'cz (23)', 'dk (17)', 'do (15)', 'ec (10)', 'eg (10)', 'sv (14)', 'ee (29)', 'fi (22)', 'fr (12)', 'de (14)', 'gr (18)', 'gt (12)', 'hn (14)', 'hk (29)', 'hu (19)', 'is (18)', 'in (3)', 'id (20)', 'ie (28)', 'il (6)', 'it (28)', 'jp (3)', 'lv (33)', 'lt (36)', 'lu (17)', 'my (26)', 'mt (26)', 'mx (17)', 'ma (2)', 'nl (35)', 'nz (14)', 'ni (10)', 'no (24)', 'pa (13)', 'py (14)', 'pe (24)', 'ph (21)', 'pl (24)', 'pt (30)', 'ro (5)', 'ru (1)', 'sa (5)', 'sg (42)', 'sk (22)', 'za (4)', 'kr (9)', 'es (21)', 'se (22)', 'ch (30)', 'tw (48)', 'th (8)', 'tr (16)', 'ua (2)', 'ae (14)', 'uy (12)', 'vn (8)']"
8127,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,21389956.0,88,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']","['us (65)', 'gb (62)', 'ar (2)', 'au (64)', 'at (40)', 'be (61)', 'bo (3)', 'br (16)', 'bg (46)', 'ca (64)', 'cl (3)', 'co (5)', 'cr (17)', 'cy (36)', 'cz (27)', 'dk (54)', 'do (12)', 'ec (2)', 'eg (13)', 'sv (5)', 'ee (48)', 'fi (42)', 'fr (41)', 'de (47)', 'gr (39)', 'gt (3)', 'hn (7)', 'hk (20)', 'hu (33)', 'is (52)', 'in (2)', 'id (6)', 'ie (64)', 'il (22)', 'it (28)', 'jp (4)', 'lv (50)', 'lt (47)', 'lu (39)', 'my (21)', 'mt (21)', 'mx (5)', 'ma (19)', 'nl (58)', 'nz (64)', 'ni (5)', 'no (50)', 'pa (12)', 'py (4)', 'pe (2)', 'ph (16)', 'pl (42)', 'pt (65)', 'ro (22)', 'sa (16)', 'sg (25)', 'sk (40)', 'za (25)', 'kr (18)', 'es (7)', 'se (41)', 'ch (57)', 'tw (16)', 'th (6)', 'tr (14)', 'ua (2)', 'ae (21)', 'uy (3)', 'vn (2)']"
466,6vWDO969PvNqNYHIOW5v0m,Beyoncé,32087569.0,88,"['dance pop', 'pop', 'r&b']","['us (31)', 'gb (34)', 'ar (2)', 'au (27)', 'at (5)', 'be (25)', 'bo (1)', 'br (32)', 'bg (17)', 'ca (25)', 'cl (2)', 'co (2)', 'cr (3)', 'cy (14)', 'cz (6)', 'dk (13)', 'do (7)', 'ec (2)', 'eg (1)', 'sv (2)', 'ee (16)', 'fi (7)', 'fr (13)', 'de (6)', 'gr (9)', 'gt (2)', 'hn (2)', 'hk (7)', 'hu (9)', 'is (35)', 'in (1)', 'id (2)', 'ie (37)', 'il (10)', 'it (4)', 'lv (13)', 'lt (19)', 'lu (15)', 'my (7)', 'mt (9)', 'mx (2)', 'ma (2)', 'nl (23)', 'nz (24)', 'ni (1)', 'no (16)', 'pa (5)', 'py (2)', 'pe (2)', 'ph (10)', 'pl (11)', 'pt (24)', 'ro (5)', 'sa (2)', 'sg (10)', 'sk (8)', 'za (26)', 'kr (5)', 'es (4)', 'se (17)', 'ch (13)', 'tw (11)', 'th (2)', 'tr (6)', 'ae (13)', 'uy (2)', 'vn (2)']"
18411,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,35224872.0,88,"['reggaeton', 'reggaeton colombiano', 'trap latino']","['us (21)', 'gb (3)', 'ar (48)', 'au (3)', 'at (8)', 'be (10)', 'bo (52)', 'br (7)', 'bg (14)', 'ca (12)', 'cl (57)', 'co (87)', 'cr (57)', 'cy (11)', 'cz (6)', 'dk (4)', 'do (67)', 'ec (62)', 'eg (2)', 'sv (54)', 'ee (7)', 'fi (8)', 'fr (6)', 'de (9)', 'gr (13)', 'gt (62)', 'hn (58)', 'hk (5)', 'hu (12)', 'is (5)', 'in (2)', 'id (2)', 'ie (4)', 'il (5)', 'it (19)', 'jp (3)', 'lv (7)', 'lt (14)', 'lu (20)', 'my (4)', 'mt (16)', 'mx (51)', 'ma (5)', 'nl (10)', 'nz (4)', 'ni (47)', 'no (5)', 'pa (62)', 'py (45)', 'pe (50)', 'ph (2)', 'pl (6)', 'pt (24)', 'ro (9)', 'ru (1)', 'sa (6)', 'sg (5)', 'sk (11)', 'za (1)', 'kr (2)', 'es (57)', 'se (6)', 'ch (29)', 'tw (6)', 'th (3)', 'tr (3)', 'ua (2)', 'ae (8)', 'uy (50)', 'ad (3)']"
4095,2LRoIwlKmHjgvigdNGBHNo,Feid,2118853.0,88,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino']","['ar (7)', 'bo (15)', 'cl (21)', 'co (65)', 'cr (17)', 'do (15)', 'ec (26)', 'sv (13)', 'gt (14)', 'hn (12)', 'mx (7)', 'ni (8)', 'pa (23)', 'py (14)', 'pe (17)', 'pt (2)', 'es (18)', 'ch (2)', 'uy (18)', 'ad (1)']"
17754,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,24692289.0,88,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']","['us (16)', 'gb (26)', 'ar (21)', 'au (22)', 'at (29)', 'be (30)', 'bo (16)', 'br (19)', 'bg (24)', 'ca (23)', 'cl (16)', 'co (18)', 'cr (13)', 'cy (19)', 'cz (26)', 'dk (25)', 'do (12)', 'ec (15)', 'eg (2)', 'sv (16)', 'ee (30)', 'fi (43)', 'fr (37)', 'de (40)', 'gr (22)', 'gt (14)', 'hn (13)', 'hk (20)', 'hu (29)', 'is (13)', 'in (1)', 'id (9)', 'ie (26)', 'il (8)', 'it (25)', 'jp (5)', 'lv (25)', 'lt (28)', 'lu (31)', 'my (20)', 'mt (21)', 'mx (21)', 'ma (2)', 'nl (24)', 'nz (19)', 'ni (10)', 'no (41)', 'pa (17)', 'py (15)', 'pe (17)', 'ph (17)', 'pl (24)', 'pt (20)', 'ro (10)', 'sa (2)', 'sg (21)', 'sk (25)', 'za (2)', 'kr (3)', 'es (24)', 'se (33)', 'ch (39)', 'tw (24)', 'th (7)', 'tr (16)', 'ua (1)', 'ae (3)', 'uy (18)', 'vn (8)', 'ad (2)']"
10842,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,21779281.0,88,"['dance pop', 'pop']","['us (26)', 'gb (20)', 'ar (8)', 'au (20)', 'at (12)', 'be (11)', 'bo (8)', 'br (9)', 'bg (19)', 'ca (22)', 'cl (8)', 'co (8)', 'cr (10)', 'cy (14)', 'cz (12)', 'dk (11)', 'do (10)', 'ec (6)', 'eg (10)', 'sv (9)', 'ee (14)', 'fi (13)', 'fr (9)', 'de (11)', 'gr (13)', 'gt (5)', 'hn (10)', 'hk (11)', 'hu (13)', 'is (14)', 'in (9)', 'id (9)', 'ie (15)', 'il (12)', 'it (7)', 'jp (5)', 'lv (15)', 'lt (15)', 'lu (14)', 'my (14)', 'mt (6)', 'mx (7)', 'ma (10)', 'nl (11)', 'nz (18)', 'ni (9)', 'no (14)', 'pa (11)', 'py (6)', 'pe (9)', 'ph (13)', 'pl (10)', 'pt (13)', 'ro (15)', 'ru (9)', 'sa (14)', 'sg (14)', 'sk (12)', 'za (21)', 'kr (10)', 'es (6)', 'se (9)', 'ch (12)', 'tw (8)', 'th (11)', 'tr (8)', 'ua (7)', 'ae (14)', 'uy (8)', 'vn (11)']"
