,spotify_id,name,followers,popularity,genres,chart_hits
14676,7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,2739071.0,72,"['contemporary country', 'country', 'country road', 'pop']","['us (9)', 'gb (1)', 'au (2)', 'at (1)', 'be (1)', 'br (1)', 'bg (1)', 'ca (9)', 'co (1)', 'cr (1)', 'cy (1)', 'cz (1)', 'dk (1)', 'do (1)', 'ec (1)', 'eg (1)', 'sv (1)', 'ee (1)', 'fi (1)', 'fr (1)', 'de (1)', 'gr (2)', 'gt (1)', 'hn (1)', 'hk (1)', 'hu (1)', 'is (1)', 'id (1)', 'ie (1)', 'il (1)', 'it (1)', 'jp (1)', 'lv (1)', 'lt (2)', 'lu (1)', 'my (1)', 'mt (2)', 'mx (1)', 'ma (1)', 'nl (1)', 'nz (1)', 'no (1)', 'pa (1)', 'ph (1)', 'pl (1)', 'pt (1)', 'ro (1)', 'sa (1)', 'sg (1)', 'sk (1)', 'za (1)', 'kr (1)', 'es (1)', 'se (1)', 'ch (1)', 'tw (1)', 'th (1)', 'ae (1)', 'vn (1)']"
14129,1z4g3DjTBBZKhvAroFlhOM,Red Velvet,7495930.0,72,"['k-pop', 'k-pop girl group']","['bg (1)', 'ca (1)', 'hk (12)', 'id (12)', 'jp (6)', 'my (14)', 'ph (12)', 'sa (1)', 'sg (14)', 'kr (13)', 'tw (13)', 'th (26)', 'ae (1)', 'vn (12)']"
16545,5IbEL2xjRtKsunfmsahLuO,$NOT,1164155.0,72,"['aesthetic rap', 'florida rap', 'rap', 'underground hip hop']","['us (2)', 'au (1)', 'at (1)', 'bg (1)', 'ca (2)', 'cz (1)', 'ee (3)', 'fi (1)', 'de (1)', 'hu (1)', 'is (1)', 'lv (3)', 'lt (3)', 'lu (1)', 'nz (1)', 'ro (1)', 'ru (1)', 'sk (1)', 'za (1)', 'ch (1)', 'ua (1)']"
123980,5FxD8fkQZ6KcsSYupDVoSO,Omar Apollo,580014.0,72,"['bedroom pop', 'bedroom soul', 'pop', 'r&b']",
9165,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,6414617.0,72,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",['br (1)']
7984,5SulO4l40qDuV9zUGLZx7n,Capo Plaza,3330055.0,72,"['italian hip hop', 'trap italiana']","['it (59)', 'ch (2)']"
15750,0CbeG1224FS58EUx4tPevZ,Timmy Trumpet,937667.0,72,"['australian dance', 'big room', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance']","['au (1)', 'at (5)', 'be (1)', 'dk (2)', 'fi (2)', 'fr (1)', 'de (1)', 'hu (6)', 'is (1)', 'nl (1)', 'nz (2)', 'no (1)', 'pl (1)', 'es (1)', 'se (1)']"
7152,5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,2582491.0,72,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']","['us (5)', 'gb (5)', 'ar (4)', 'au (9)', 'at (10)', 'be (5)', 'bo (2)', 'br (3)', 'bg (2)', 'ca (4)', 'cl (4)', 'co (4)', 'cr (4)', 'cy (2)', 'cz (5)', 'dk (5)', 'do (4)', 'ec (4)', 'sv (3)', 'ee (5)', 'fi (6)', 'fr (11)', 'de (10)', 'gr (4)', 'gt (3)', 'hn (2)', 'hk (3)', 'hu (5)', 'is (5)', 'id (1)', 'ie (8)', 'it (6)', 'lv (6)', 'lt (6)', 'lu (4)', 'my (4)', 'mt (2)', 'mx (4)', 'nl (5)', 'nz (8)', 'ni (2)', 'no (5)', 'pa (2)', 'py (2)', 'pe (4)', 'ph (3)', 'pl (4)', 'pt (5)', 'ro (1)', 'sg (2)', 'sk (5)', 'es (3)', 'se (5)', 'ch (9)', 'tw (4)', 'tr (4)', 'uy (4)']"
13349,3o2dn2O0FCVsWDFSh8qxgG,Sabaton,1664867.0,72,"['metal', 'power metal', 'swedish metal', 'swedish power metal']","['bg (2)', 'fi (13)', 'sa (1)', 'se (24)']"
12183,6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,959365.0,72,"['alternative pop rock', 'pop']","['us (2)', 'gb (1)', 'au (3)', 'at (1)', 'be (1)', 'bg (1)', 'ca (2)', 'cy (1)', 'cz (1)', 'dk (2)', 'ee (2)', 'fi (2)', 'fr (1)', 'de (1)', 'gr (1)', 'hk (1)', 'hu (2)', 'is (2)', 'in (1)', 'ie (2)', 'il (1)', 'jp (1)', 'lv (2)', 'lt (2)', 'lu (1)', 'my (1)', 'mt (1)', 'nl (1)', 'nz (2)', 'no (2)', 'ph (1)', 'pl (1)', 'pt (2)', 'ro (1)', 'sg (1)', 'sk (2)', 'za (2)', 'se (2)', 'ch (1)', 'tw (1)', 'th (1)', 'ae (2)', 'vn (1)']"
15477,3XxNRirzbjfLdDli06zMaB,Eyedress,879881.0,72,['noise pop'],"['us (1)', 'ee (1)', 'lv (1)', 'lt (3)', 'ro (1)', 'sa (2)', 'ua (1)', 'ae (1)']"
4407,4bYPcJP5jwMhSivRcqie2n,Adam Levine,963698.0,72,"['deep talent show', 'neo mellow']","['br (1)', 'hk (4)', 'id (1)', 'my (1)', 'nl (1)', 'ph (1)', 'pl (1)', 'pt (1)', 'sg (1)', 'tw (4)', 'th (2)']"
17655,5j4HeCoUlzhfWtjAfM1acR,Stromae,2568295.0,72,"['belgian pop', 'g-house']","['at (2)', 'be (29)', 'ca (4)', 'cy (1)', 'dk (3)', 'ec (1)', 'ee (1)', 'fi (1)', 'fr (30)', 'de (3)', 'gr (1)', 'hu (3)', 'it (4)', 'lv (2)', 'lt (1)', 'lu (15)', 'mx (1)', 'ma (10)', 'nl (19)', 'pa (1)', 'pl (3)', 'pt (1)', 'sa (2)', 'es (1)', 'se (1)', 'ch (17)', 'tr (1)', 'ae (1)']"
19128,6AcOTCYBMvjKYy4zms0kaC,Banda El Recodo,3136912.0,72,"['banda', 'musica mexicana', 'ranchera']","['bo (1)', 'cl (1)', 'ec (1)', 'sv (1)', 'gt (1)', 'mx (7)', 'ni (2)']"
