,1187,684,437,1090,352,1388,778,862,663,791,1340,953,1031,648,407,779,332,480,531,1351,1126,542,645,769,1234,504,1015,984,824,605,1008,1407,763,434,1115,206,698,1349,75,49,439,272,797,935,452,760,387,748,1100,980,670,1155,436,817,995,528,925,695,1043,167,312,549,1094,581,1281,486
10,Tom Rosenthal,Corey Taylor,Kirko Bangz,Women,Jenny And The Mexicats,HERBSTBRÜDER,Queens of the Stone Age,Cherry Bullet,Rocío Quiroz,Boy Kiss Girl,Pain,Snail Mail,amazarashi,Kalimba,Brantley Gilbert,Yelle,RAYE,Summer Cem,OK KID,Terri Clark,Lexy & K-Paul,Jay Rock,The Goo Goo Dolls,Don Diablo,Wasis Diop,Jeroen Van Der Boom,Joan Osborne,Dagny,Kartellen,Albin Lee Meldau,The Naked And Famous,Bruno Major,46bliss,Christy Moore,Hellberg,MiloXO,Jhon Alex Castaño,Kid 'N Play,Miky Woodz,Moneybagg Yo,Sheppard,Snow Patrol,Fats Waller,Her,¡MAYDAY!,Isak Danielson,Billy Squier,Vacation Manor,,Turisti,Brantley Gilbert,Casa De Leones,Abraham Mateo,Statik Selektah,Richard Durand,Los Tipitos,Moderatto,Ant Banks,Die Fantastischen Vier,MASN,Anonym,DAVICHI,I Mother Earth,Luxuslärm,Fred V,T.I.
11,Benjamin Francis Leftwich,Black Stone Cherry,Remyboy Monty,Ariel Pink,Chetes,Lemo,Jane's Addiction,IZ*ONE,Grupo Play,Myle,Norther,Betty Who,Ling tosite sigure,Alejandro Sanz,Rodney Atkins,Dannii Minogue,Becky Hill,METRICKZ,Clueso,Gretchen Wilson,Moonbootica,Sylvan LaCue,David Cook,DubVision,Diogal,VanVelzen,Amanda Marshall,Joy Oladokun,Kaliffa,Vargas & Lagola,MGMT,JON VINYL,Emma Watson,The Irish Rovers,MitiS,Zae France,Lady Yuliana,Digital Underground,Noriel,Quavo,Lucy Hale,The Strokes,Bobby Darin,Jabberwocky,D12,Robin Bengtsson,38 Special,NIGHT TRAVELER,,Madboiali,Jason Aldean,Eddie Dee,Cazzu,Joell Ortiz,Audien,La Portuaria,Aterciopelados,Richie Rich,Ohrbooten,Tyla Yaweh,JAZN,4Minute,Matt Mays,Johannes Oerding,Andy C,Kid Ink
12,Lucy Rose,Disturbed,Fuzzy Fazu,The Books,Lila Downs,Poxrucker Sisters,Them Crooked Vultures,HyunA,Los del Fuego,Bow Anderson,Disarmonia Mundi,King Princess,MYTH & ROID,Magneto,Thomas Rhett,The Knife,Mabel,Farid Bang,Bosse,Mindy McCready,Einmusik,Childish Major,Thriving Ivory,Alesso,Rokia Traoré,Alain Clark,Sophie B. Hawkins,Grace Carter,Näääk,Sandro Cavazza,College,Christian Kuria,Louque,The Clancy Brothers,Dillon Francis,JY MNTL,Juan Carlos Zarabanda,Brand Nubian,Casper Magico,DaBaby,Madilyn,Muse,Artie Shaw,Napkey,Asher Roth,Wiktoria,Eddie Money,Great Good Fine Ok,,Jami Faltin,Billy Currington,Wisin,Maite Perroni,Pharoahe Monch,ARTY,Divididos,Jotdog,Dru Down,Peter Fox,7ru7h,Sarhad,T-ARA,Wide Mouth Mason,Revolverheld,Metrik,Mario
13,Ben Howard,All That Remains,Speaker Knockerz,Avey Tare's Slasher Flicks,Silvana Estrada,Marie Bothmer,Pearl Jam,MOMOLAND,El Polaco,ELI,DevilDriver,Lomelda,FLOW,Ricardo Arjona,Eric Church,Goldfrapp,Emeli Sandé,Bass Sultan Hengzt,Casper,LeAnn Rimes,Sascha Funke,Mick Jenkins,Augustana,Oliver Heldens,Sékouba Bambino,Claudia De Breij,Lisa Loeb,Patrick Droney,Labyrint,Cherrie,Hammock,Hojean,Starling Electric,Blaggards,Tut Tut Child,Elliott Trent,El Andariego,Brittany Snow,Kevin Roldan,Don Toliver,MKTO,The Fratellis,Kay Starr,Synapson,CES Cru,Julie Bergan,Asia,Arcade Dreams,,ibe,Dierks Bentley,Ivy Queen,Chesca,Talib Kweli,David Forbes,Sui Generis,Juanes,Tha Eastsidaz,Beatsteaks,Promoting Sounds,Eno,Jay Park,Matthew Good,Rosenstolz,Netsky,Timbaland
14,Andrew Belle,Airbourne,Ca$h Out,Daniel Rossen,Belanova,Tagtraeumer,Faith No More,TRI.BE,La Champions Liga,Phenomenon,Mors Principium Est,Waxahatchee,BURNOUT SYNDROMES,Alejandro Fernández,Kip Moore,Jessie Ware,Sigma,Bizzy Montana,Madsen,Reba McEntire,Oliver Schories,Ab-Soul,Howie Day,Martin Solveig,Daby Balde,BLØF,Indigo Girls,Sarah Klang,Rhymes & Riddim,Benjamin Ingrosso,Youth Lagoon,Jereena Montemayor,Shapes Of Race Cars,The Real McKenzies,Knife Party,23 Unofficial,Jimmy Gutierrez,Biz Markie,Jon Z,Gunna,Parachute,The Bravery,Benny Goodman,Thylacine,Prozak,Paul Rey,Sammy Hagar,Nightly,,jambo,Trace Adkins,Luny Tunes,Mariah Angeliq,9th Wonder,Steve Brian,Kevin Johansen,Los Amigos Invisibles,C-Bo,Clueso,Lxst,Sero El Mero,BTOB,Sloan,Andreas Bourani,Nu:Logic,Ne-Yo
15,Syd Matters,Machine Head,Just Chase,Girls,Los Amigos Invisibles,folkshilfe,Blind Melon,AleXa,Banda XXI,Malik Harris,Trivium,Tomberlin,SawanoHiroyuki[nZk],Axel,Rascal Flatts,September,Arlissa,MoTrip,JORIS,Jessica Andrews,Boris Brejcha,WESTSIDE BOOGIE,Blue October,John Summit,Idrissa Soumaoro,DI-RECT,k.d. lang,VÉRITÉ,Matte Caliste,Oskar Linnros,Grizzly Bear,Luke Chiang,Idina Menzel,Ronnie Drew,Modestep,Darkoo,Jhonny Rivera,Michelle Pfeiffer,Jhay Cortez,Flipp Dinero,Cimorelli,Keane,Glenn Miller,Polo & Pan,Transplants,estraden,Rick Springfield,Heart Of Gold,,Cledos,Florida Georgia Line,Magnate,Ana Guerra,"Royce Da 5'9""",Ruben de Ronde,Pescado Rabioso,Zoé,MC Breed,Madsen,Josh Golden,NGEE,SHINee,Gord Downie,Max Giesinger,Kove,Diddy
16,SYML,Nonpoint,Montana of 300,Grizzly Bear,Carla Morrison,Nie und Nimmer,Wolfmother,Apink,El Super Hobby,Maël & Jonas,Amon Amarth,The Aces,Österreich,Alexander Acha,Zac Brown Band,Tove Styrke,Naughty Boy,23,Philipp Dittberner,Chely Wright,Anja Schneider,Rexx Life Raj,Edwin McCain,Hardwell,Afel Bocoum,Marco Borsato,Sheryl Crow,Famous Yesterday,Aleks,Molly Hammar,Kavinsky,slchld,Samuel E. Wright,The Irish Brigade,Noisestorm,Ayo Jay,Jorge Luis Hortúa,Lil' Kim,Anuel AA,Cordae,G.R.L.,Stereophonics,Lionel Hampton,Clem Beatz,Rittz,Andreas Moe,Pat Benatar,Patternist,,Blacflaco,Darius Rucker,Tego Calderón,Ely Blancarte,Sean Price,Lange,Bersuit Vergarabat,Maria Daniela Y Su Sonido Lasser,2nd II None,Massive Töne,blackbear,GRiNGO,G.NA,Lowest of the Low,Stefanie Heinzmann,DC Breaks,Trey Songz
17,Liza Anne,Bad Wolves,PluHeph,Cass McCombs,Mœnia,Miwata,Rage Against The Machine,Medusa,De La Calle,LEEPA,Hypocrisy,Christian Lee Hutson,MAN WITH A MISSION,Obie Bermudez,Cole Swindell,Empress Of,Anne-Marie,Azad,Philipp Poisel,Kellie Pickler,Kölsch,Deante' Hitchcock,Fuel,Fedde Le Grand,Geoffrey Oryema,Acda en de Munnik,Aimee Mann,Ana Diaz,Mohammed Ali,Wiktoria,The Cinematic Orchestra,ASTN,Lea Salonga,Luke Kelly,Crystal Skies,Odeal,Giovanny Ayala,Elijah Kelley,Chris Jedi,Lil Mosey,Hailee Steinfeld,Editors,Rosemary Clooney,Seth XVI,Tech N9ne Collabos,Ulrik Munther,TOTO,Recent Rumors,,KERZA,Luke Bryan,DJ Nelson,Mont,Rapsody,tyDi,Luis Alberto Spinetta,Miguel Bosé,Twinz,Dynamite Deluxe,Vaboh,JIGGO,2PM,Spirit Of The West,Gregor Meyle,S.P.Y,Fabolous
18,Marika Hackman,Amaranthe,Kalin and Myles,Perfume Genius,Enjambre,Alexa Feser,Collective Soul,HYO,Hernan y La Champion's Liga,MICK SUNDAY,Wintersun,VÉRITÉ,Lenny code fiction,La Quinta Estacion,Chris Lane,Bat For Lashes,Neon Jungle,Silla,Razz,Lorrie Morgan,AKA AKA,Buddy,Hoobastank,Bingo Players,Habib Koité,Lange Frans,Sinéad O'Connor,Luca Fogale,Ken Ring,Fricky,Miike Snow,Jeremy Passion,Jodi Benson,Damien Dempsey,Aero Chord,Singah,Los Bacanes del Sur,Craig Mack,Darell,Scorey,Ingrid Michaelson,The Vaccines,Johnny Mercer,Superpoze,Big Scoob,JUNG,Huey Lewis & The News,Jet Black Alley Cat,,TIPPA,Josh Gracin,Ñejo,Fanny Lu,Rapper Big Pooh,Andrew Rayel,Turf,Belinda,Bad Azz,Ferris MC,Ouse,OMAR,Girls' Generation,The Northern Pikes,Wincent Weiss,Break,Usher
19,Jaymes Young,Dope,Junior,The Olivia Tremor Control,Liquits,Alex Diehl,Incubus,YENA,El Apache Ness,Evan Klar,Machine Head,Jenny Lewis,BRADIO,David Bisbal,Dylan Scott,Oskar Linnros,Pixie Lott,Kitty Kat,Faber,Patty Loveless,Joris Voorn,Saba,SafetySuit,KREAM,Ayub Ogada,Krezip,Dar Williams,Hannes,Jacco,Sarah Klang,The Irrepressibles,Jesse Barrera,Judy Kuhn,The Men They Couldn't Hang,Dabin,wewantwraiths,Pipe Bueno,Kool Moe Dee,Dalex,Rich The Kid,Irum Jaan,Travis,Hoagy Carmichael,La Fine Equipe,Chamillionaire,VAX,Cheap Trick,The Ivy,,Axel Kala,Jake Owen,"Tito ""El Bambino""",Pitizion,Jean Grae,ALPHA 9,Andrés Calamaro,Reyli Barba,Jayo Felony,Kraftklub,Paris Shadows,EREN CAN,After School,Kim Mitchell,Tim Bendzko,Grafix,B.o.B
