,490,1048,1169,1288,1087,1172,118,103,836,1370,805,363,785,325,1213,636,1049,508,247,226,1326,26,552,1186,617,568,1310,1208,706,406,879,1321,1157,367,783,253,231,362,846,435,855,25,72,901,52,726,1063,323,913,478,358,678,574,593,1362,346,1270,130,1006,131,709,305,1332,146,135,680,4,357,751,123,794,716,1354,524,178,366,1276,810,11,634,1158,582,356,589,886,561,533,383,520,1245,1024,664,330,1223,133,866,780,1403,677,860
10,Nate Good,Ra Ra Riot,Gianni Togni,Ala Dos Namorados,Sutton Foster,Margaret Whiting,andreas odbjerg,Starley,Clipse,The Diplomats,The J. Geils Band,Revol,Alex Turner,,Sanalejo,Bénabar,Billie Jo Spears,Angèle,Octavian,Alexander 23,Big Shug,Matoma,Nonpoint,Erykah Badu,Olexesh,Willy Chirino,Reel 2 Real,Peter LeMarc,Mia Martina,River Whyless,Pietro Lombardi,Madison McFerrin,Raphael Saadiq,OG3NE,Sasha Alex Sloan,Frankie Ruiz,Chayanne,Jon Bellion,Art Ensemble Of Chicago,Los Rodriguez,Dirty South,Jason Derulo,Vitalic,Zalia,Wale,Massiv,Ra Ra Riot,,Strand of Oaks,Thomas Jack,Aluna,Rina Sawayama,Huncho Jack,Joyce Jonathan,Akhenaton,Westside Connection,Christina Milian,Martin Jensen,"Now, Now",Tinashe,Kelly Rowland,Bow Wow,CHEN,JP Saxe,Weki Meki,Shreya Ghoshal,Rauw Alejandro,BEXEY,Chase & Status,Slayyyter,Snoop Dogg,Oli Harper,Alan Silvestri,Shy Glizzy,Bruninho & Davi,Nico Santos,Jessica Andersson,Paris Hilton,SadBoyProlific,Ciro y los Persas,Chakuza,Jack River,Trick Daddy,The Script,Elina,Spillage Village,Kodigo,Stefanie Heinzmann,Youv Dee,Dionne Warwick,S Club 7,Jesse McCartney,Colbie Caillat,Mobb Deep,Rina Sawayama,AJÉ,Amerie,Tyree Cooper,Clouseau,The Cheetah Girls
11,Arizona Zervas,The Naked And Famous,Patty Pravo,Tcheka,Original Cast of Billy Elliot,Helen Merrill,Burhan G,Klingande,Statik Selektah,Beanie Sigel,Bob Seger,Lary Over,Dirty Pretty Things,,Jorge Villamizar,Niagara,Tammy Wynette,Grand Corps Malade,Avelino,Chelsea Cutler,Black Moon,Seeb,Sevendust,Dionne Bromfield,Genetikk,El Micha,CeCe Peniston,Ted Gärdestad,Sean Leon,Mt. Joy,Nico Santos,Yazmin Lacey,Ayọ,DI-RECT,Ellise,Son By Four,Reyli Barba,CVBZ,Albert Ayler,Los Enanitos Verdes,Kosling,OneRepublic,The Avalanches,Piotr Zioła,Juicy J,Nash,Jai Paul,,Cass McCombs,Bakermat,The Magician,FKA twigs,Roy Woods,TAL,Médine,Twinz,Sevyn Streeter,R3HAB,MUNA,H.E.R.,Brandy,The-Dream,SUPER JUNIOR-D&E,BANNERS,CLC,Amit Trivedi,Lunay,SinceWhen,Mis-Teeq,Rita Ora,Ice Cube,Tom Enzy,Henry Jackman,Tee Grizzley,Henrique & Diego,Gestört aber GeiL,Anders Ekborg,Delta Goodrem,Internet Money,Mancha De Rolando,B-Tight,Vallis Alps,Gorilla Zoe,Uncle Kracker,Plested,Duckwrth,LOUTA,Philipp Dittberner,404Billy,Eric Carmen,Steps,Adam Lambert,Donavon Frankenreiter,G-Unit,Tinashe,Brudi030,Case,Lidell Townsell,Milk Inc.,Belinda
12,Luke Christopher,Empire of the Sun,Eugenio Finardi,Nancy Vieira,Jonathan Groff,Jeri Southern,NOAH,Matoma,Slum Village,Tsu Surf,Bachman-Turner Overdrive,Darell,The Horrors,,Jerau,Alain Souchon,Dan Seals,Pomme,Nines,gianni & kyle,Smif-N-Wessun,ILLENIUM,Powerman 5000,Robin Thicke,Trettmann,Kiko Rivera,Todd Terry,Peter Jöback,Jazz Cartier,Local Natives,An Tagen wie diesen,Pip Millett,Randy Crawford,Acda en de Munnik,Alexander Stewart,ChiChi Peralta,Ricardo Arjona,ayokay,Eric Dolphy,El Cuarteto De Nos,Swanky Tunes,Jessie J,deadmau5,Vito Bambino,T-Pain,LX & Maxwell,Your Smith,,M. Ward,Eklo,Cosmo's Midnight,ABRA,A$AP Mob,Amel Bent,Kool Shen,Xzibit,Jordin Sparks,Yves V,XYLØ,Sabrina Claudio,Total,Joe,LAY,Elina,LOOΠΔ / ODD EYE CIRCLE,Roop Kumar Rathod,Tainy,Lil Pump,Tinie Tempah,Foxes,Bad Meets Evil,Cat Mode,James Newton Howard,Don Q,Cristiano Araújo,VIZE,Sofia Källgren,Vanessa Amorosi,Lil Mosey,Bersuit Vergarabat,Manuellsen,Gretta Ray,Plies,Counting Crows,Greyson Chance,Terrace Martin,KHEA,Mark Forster,Di-Meh,Sheena Easton,Billie Piper,Michelle Branch,Parachute,The Game,Iggy Azalea,Seyed,SWV,Ralphi Rosario,Zornik,Jessica Simpson
13,Justin Stone,Hot Chip,Tiromancino,Bonga,Auli'i Cravalho,Dakota Staton,Thomas Helmig,Hot Shade,Black Star,Preme,Billy Squier,Nio Garcia,Hot Hot Heat,,Julio Nava,Benjamin Biolay,The Statler Brothers,Julien Doré,Krept & Konan,Teqkoi,Planet Asia,Cash Cash,Shinedown,Raphael Saadiq,Miami Yacine,El Chacal,Inner City,Bo Kaspers Orkester,Boogát,Rayland Baxter,Kay One,Charlotte Day Wilson,Lucy Pearl,Jaap Reesema,Etham,Carlos Vives,Gian Marco,Wingtip,Ornette Coleman,Serú Girán,Sick Individuals,Olly Murs,Fatboy Slim,Natalia Przybysz,Yo Gotti,Zuna,Geographer,,Sam Amidon,Dimmi,Hermitude,GoldLink,EARTHGANG,Christophe Maé,Ärsenik,Tha Dogg Pound,Ashlee Simpson,Mike Perry,Tegan and Sara,Victoria Monét,Tweet,Ashanti,KAI,Dermot Kennedy,Hyolyn,Harshdeep Kaur,Alex Rose,Fat Nick,N-Dubz,ALMA,Busta Rhymes,Sirona,Michael Giacchino,Yungeen Ace,Bruno & Marrone,Kelvin Jones,Anna Bergendahl,Amy Shark,Lil Tecca,Los Caballeros De La Quema,Jonesmann,Amy Shark,Slim Thug,Parachute,Dylan Dunlap,SiR,Frijo,Glasperlenspiel,Krisy,Wet Wet Wet,Samantha Mumba,Demi Lovato,Joshua Radin,Scarface,RuPaul,Cashmo,Fantasia,J.M. Silk,Soulsister,Jordan Pruitt
14,Jez Dior,Generationals,Raf,António Zambujo,Norbert Leo Butz,Ernestine Anderson,Citybois,Lucas Estrada,Camp Lo,Cozz,The Cars,DrefQuila,Babyshambles,,Superlitio,Camélia Jordana,Earl Thomas Conley,Christophe Maé,Stormzy,Eden Project,Cormega,Sigala,Saliva,India.Arie,KC Rebell,Carlos Baute,The Outhere Brothers,Per Gessle,Nina Sky,Shakey Graves,Ich Liebe Diese Tage,Cleo Sol,Roberta Flack,Famke Louise,Carlie Hanson,Juanes,Carlos Vives,Luke Christopher,George Russell,GIT,Feenixpawl,MKTO,Gesaffelstein,KIWI,Soulja Boy,SpongeBOZZ,Ethan Gruska,,Bill Callahan,Lost Frequencies,Gorgon City,Raveena,Kevin Abstract,Black M,113,Makaveli,Vanessa Hudgens,Hardwell,Kiiara,Ashnikko,Ciara,Omarion,MINHO,James Bay,fromis_9,Mustafa Zahid,Miky Woodz,Ugly God,Wiley,Icona Pop,Mobb Deep,Galwaro,Klaus Badelt,Lil Durk,Edson & Hudson,Michael Schulte,Jill Johnson,Adam Lambert,Smokepurpp,Las Pelotas,Summer Cem,Alex the Astronaut,Lil Scrappy,Hootie & The Blowfish,Clara Mae,Berhana,YSY A,Michael Schulte,OBOY,Air Supply,Five,Natasha Bedingfield,DISPATCH,DMX,Latto,DILOMAN,Teedra Moses,Jesse Saunders,Tom Waes,Jesse McCartney
15,Marc E. Bassy,Discovery,Ivano Fossati,Cristina Branco,Idina Menzel,Eartha Kitt,Gulddreng,Jonas Blue,J Dilla,DJ Drama,The Marshall Tucker Band,Alex Rose,Miles Kane,,Carlos Vives,Julien Doré,Juice Newton,Gaël Faye,Yungen,Sody,Erick Sermon,CVBZ,Breaking Benjamin,Lucy Pearl,Summer Cem,Rasel,Alison Limerick,Uno Svenningsson,Keshia Chanté,Henry Jamison,Tim Bendzko,Amber Mark,Sharon Jones & The Dap-Kings,Guus Meeuwis,Clara Mae,Chayanne,Maná,Chelsea Cutler,William Parker,Sui Generis,Dannic,Zedd,Miami Horror,Clock Machine,YG,Lil Lano,James Vincent McMorrow,,Bonnie Prince Billy,Sam Feldt,Hayden James,bLAck pARty,A$AP Ferg,Grégoire,Lim,Spice 1,Cassie,Sick Individuals,Terror Jr,Rico Nasty,TLC,Ciara,ONEW,Alec Benjamin,EXID,Rahat Fateh Ali Khan,Ñengo Flow,Landon Cube,Devlin,Tove Styrke,Mack 10,loafers,Dario Marianelli,HoodRich Pablo Juan,Inimigos Da HP,Pulsedriver,Jan Malmsjö,Pixie Lott,Lil Peep,Fabiana Cantilo,Farid Bang,Middle Kids,Jeezy,Phillip Phillips,Garrett Kato,Smino,Wolty,Lena,Dinos,Tina Turner,A*Teens,Fergie,Rob Thomas,Thug Life,Leikeli47,Nate57,Brandy,Reese & Santonio,Bart Peeters,Emily Osment
16,Cam Meekins,STRFKR,Sergio Cammariere,Jorge Palma,Patina Miller,Sarah Vaughan,Suspekt,GAMPER & DADONI,88-Keys,Don Q,38 Special,Chris Jedi,MGMT,,Latin Dreams,Vincent Delerm,Ricky Van Shelton,Therapie TAXI,Steel Banglez,Christian French,Artifacts,Slushii,P.O.D.,Duffy,KALIM,Leoni Torres,Felix,Oskar Linnros,Meek Mill,Wilderado,Luxuslärm,Jamila Woods,José James,BLØF,Hailee Steinfeld,Héctor Lavoe,Fanny Lu,Lostboycrow,Jimmy Giuffre,Illya Kuryaki & The Valderramas,Firebeatz,Clean Bandit,Mr. Oizo,Miętha,Meek Mill,Dardan,S. Carey,,A.A. Bondy,Kav Verhouzer,Snakehips,ENNY,Kota the Friend,Jenifer,Rohff,MC Eiht,Jessica Simpson,Lucas & Steve,i_o,Ella Mai,702,Avant,BAEKHYUN,James Arthur,HyunA,Kunal Ganjawala,Rvssian,ITSOKTOCRY,Donae'o,Kiiara,The Game,MÖWE,Trevor Morris,Icewear Vezzo,Paula Fernandes,Philipp Dittberner,Nanne,Shannon Noll,Lil Pump,Bahiano,Nate57,Odette,Fabolous,Sister Hazel,Juke Ross,Rapsody,Tygas,Pietro Lombardi,ISHA,Dan Hill,B*Witched,JoJo,Dave Barnes,Big Pun,EMMY,Said,Mýa,Phuture,Gene Thomas,Hannah Montana
17,Sammy Adams,The Whitest Boy Alive,Matia Bazar,Madredeus,Donna Murphy,Rosemary Clooney,Lord Siva,LIZOT,Consequence,Joe Budden,The Band,Jory Boy,The Vaccines,,Voz Veis,Rose,Tom T. Hall,-M-,Kojo Funds,sadeyes,AZ,Hailee Steinfeld,Skindred,Maxwell,AchtVier,Chris Tamayo,Armand Van Helden,David Urwitz,Rick Ross,Bronze Radio Return,Andreas Bourani,Lady Wray,Jamie Lidell,Wulf,Chelsea Cutler,Proyecto Uno,Kalimba,Virginia To Vegas,Paul Bley,Bunbury,Dyro,Shawn Mendes,Chromeo,Sorry Boys,Rick Ross,Bato,Wet,,Vetiver,LISTENBEE,Joe Hertz,Kehlani,bLAck pARty,RIDSA,Nessbeal,Nancy Fletcher,Ashley Tisdale,ARTY,Allie X,cupcakKe,Monica,Dru Hill,KEY,James Smith,Whee In,Himesh Reshammiya,Jon Z,Scarlxrd,Pixie Lott,King Princess,Method Man,TOOMANYLEFTHANDS,Harry Gregson-Williams,Lil Zay Osama,Victor & Leo,twocolors,Lena Philipsson,Rogue Traders,ilyTOMMY,Árbol,Ali Bumaye,Montaigne,Big Tymers,Barenaked Ladies,Rasmus Hagen,Rejjie Snow,Lautaro Lopez,Tim Bendzko,Caballero & JeanJass,Andy Gibb,Aqua,Cher Lloyd,Ben Rector,DJ Quik,Saweetie,Mortel,Carl Thomas,Mr. Fingers,Da Boy Tommy,Fefe Dobson
18,Abhi The Nomad,Phoenix,Amedeo Minghi,Rui Veloso,Jodi Benson,Dinah Shore,Ankerstjerne,Loud Luxury,Roc Marciano,Sheek Louch,The Doobie Brothers,Myke Towers,Klaxons,,Pasabordo,Jean-Louis Aubert,Tanya Tucker,Ben Mazué,MoStack,guccihighwaters,M.O.P.,NOTD,10 Years,Ledisi,Zuna,Clan 537,Corona,Markus Krunegård,Jimmy Prime,The Oh Hellos,Mike Singer,Hiatus Kaiyote,Gabrielle,Paul Sinha,Ashley Kutcher,Ricky Martin,Alex Ubago,Hearts & Colors,Dewey Redman,Los Pericos,Arston,Andy Grammer,Hot Chip,The Dumplings,Fabolous,Azad,The Japanese House,,Jeff Tweedy,Felix Jaehn,Young Franco,Kelela,Smino,Lou,Mac Tyer,Too $hort,Jesse McCartney,Seeb,PVRIS,Jhené Aiko,Busta Rhymes,Brandy,MAX CHANGMIN,Caleb Hearn,Girls' Generation,Shafqat Amanat Ali,Kevin Roldan,Joey Trap,The Saturdays,Caroline Polachek,DMX,Harrison,Harald Kloser,Babyface Ray,Zé Henrique & Gabriel,Drenchill,Benny Anderssons Orkester,Reece Mastin,Jasiah,Callejeros,Celo & Abdi,Angie McMahon,Youngbloodz,Mat Kearney,Luca Fogale,Buddy,Duki,Johannes Oerding,Sneazzy,Simply Red,Jessica Simpson,Britney Spears,Brett Dennen,Xzibit,Bree Runway,Kianush,Deborah Cox,Robert Owens,Willy Sommers,Stacie Orrico
19,Hoodie Allen,Electric Guest,Gianna Nannini,Paulo Flores,Lea Salonga,Mildred Bailey,Malte Ebert,Jax Jones,Smoke DZA,Nipsey Hussle,Bad Company,Juhn,Interpol,,Alberto Plaza,Stephan Eicher,Johnny Lee,Roméo Elvis,Giggs,Lund,Phife Dawg,DVBBS,Serj Tankian,Lizz Wright,Kollegah,Original Elias,Black Legend,Marie Fredriksson,Loco Locass,Wild Rivers,Feuerherz,Moonchild,KT Tunstall,Chef'Special,Zach Hood,Franco De Vita,Cristian Castro,Lost Kings,Henry Threadgill,Miguel Mateos,Florian Picasso,Ellie Goulding,Jamiroquai,Sonar,A$AP Ferg,Ali Bumaye,Leif Vollebekk,,Smog,De Hofnar,Shift K3Y,Matt Martians,Ameer Vann,Amir,Lunatic,House Of Shem,Tinashe,DVBBS,Pale Waves,BIA,Ginuwine,Donell Jones,Lu Han,Gavin James,OH MY GIRL,Sonu Nigam,Danny Ocean,Smokepurpp,Cheryl,Brooke Candy,Kurupt,,Rupert Gregson-Williams,Calboy,Jeito Moleque,LIZOT,Måns Zelmerlöw,Ricki-Lee,iann dior,El Bordo,Baba Saad,Wafia,Chamillionaire,Daughtry,Declan J Donovan,Leven Kali,LIT killah,Adel Tawil,Zola,The Jets,Take That,Jessie J,David Gray,Twista,Kim Petras,Shadow030,Marsha Ambrosius,Jomanda,Bart Kaell,Selena Gomez & The Scene
